season,season_label,game_id,team,home_away,avg_age,goals,shots,goals_per_shot
2425,2024/2025,711465,VfB Stuttgart,home,24.942505133470227,5,17,0.29411764705882354
2425,2024/2025,711466,Bayern Munich,away,25.752305028787696,5,25,0.2
2425,2024/2025,711466,Werder Bremen,home,26.069900752908968,0,0,
2425,2024/2025,711467,RB Leipzig,away,24.251334702258728,0,10,0.0
2425,2024/2025,711467,St. Pauli,home,26.03293473446874,0,17,0.0
2425,2024/2025,711468,1. FC Heidenheim 1846,away,27.525124501404328,2,14,0.14285714285714285
2425,2024/2025,711468,Mainz,home,27.409015351520484,0,7,0.0
2425,2024/2025,711469,Borussia Dortmund,home,25.172347707049965,4,23,0.17391304347826086
2425,2024/2025,711469,VfL Bochum,away,27.461173301538935,2,10,0.2
2425,2024/2025,711470,1. FC Union Berlin,away,27.86028129208894,0,9,0.0
2425,2024/2025,711470,Borussia Mönchengladbach,home,25.844650569992208,1,8,0.125
2425,2024/2025,711471,Bayer Leverkusen,away,25.419178203175026,1,3,0.3333333333333333
2425,2024/2025,711471,Bayern Munich,home,25.752305028787696,1,18,0.05555555555555555
2425,2024/2025,711472,VfB Stuttgart,away,24.942505133470227,2,18,0.1111111111111111
2425,2024/2025,711472,VfL Wolfsburg,home,25.167576024249534,2,5,0.4
2425,2024/2025,711473,SC Freiburg,home,26.786376832117824,0,9,0.0
2425,2024/2025,711473,St. Pauli,away,26.03293473446874,3,10,0.3
2425,2024/2025,711474,FC Augsburg,away,26.066674719168983,0,7,0.0
2425,2024/2025,711474,RB Leipzig,home,24.251334702258728,4,17,0.23529411764705882
2425,2024/2025,711475,Eintracht Frankfurt,away,25.047501711156745,4,20,0.2
2425,2024/2025,711475,Holstein Kiel,home,26.528991884228024,2,10,0.2
2425,2024/2025,711476,TSG Hoffenheim,home,25.51605227991265,3,10,0.3
2425,2024/2025,711476,Werder Bremen,away,26.069900752908968,4,23,0.17391304347826086
2425,2024/2025,711477,VfL Bochum,home,27.461173301538935,1,18,0.05555555555555555
2425,2024/2025,711477,VfL Wolfsburg,away,25.167576024249534,3,17,0.17647058823529413
2425,2024/2025,711478,TSG Hoffenheim,away,25.51605227991265,1,7,0.14285714285714285
2425,2024/2025,711478,VfB Stuttgart,home,24.942505133470227,1,20,0.05
2425,2024/2025,711479,SC Freiburg,away,26.786376832117824,1,15,0.06666666666666667
2425,2024/2025,711479,Werder Bremen,home,26.069900752908968,0,12,0.0
2425,2024/2025,711480,Mainz,away,27.409015351520484,3,8,0.375
2425,2024/2025,711480,St. Pauli,home,26.03293473446874,0,19,0.0
2425,2024/2025,711481,1. FC Heidenheim 1846,home,27.525124501404328,0,14,0.0
2425,2024/2025,711481,RB Leipzig,away,24.251334702258728,1,13,0.07692307692307693
2425,2024/2025,711482,Bayern Munich,away,25.752305028787696,3,24,0.125
