season,season_label,team,player,age_ref
2324,2023/2024,Bayer Leverkusen,Piero Hincapié,21.828884325804243
2324,2023/2024,Bayer Leverkusen,Reno Munz,19.38398357289528
2324,2023/2024,Bayer Leverkusen,Robert Andrich,29.77138945927447
2324,2023/2024,Bayer Leverkusen,Timothy Fosu-Mensah,26.409308692676248
2324,2023/2024,Bayer Leverkusen,Victor Boniface,23.51813826146475
2324,2023/2024,Bayern Munich,Adam Aznou,18.39561943874059
2324,2023/2024,Bayern Munich,Aleksandar Pavlovic,20.32032854209445
2324,2023/2024,Bayern Munich,Alphonso Davies,24.383299110198493
2324,2023/2024,Bayern Munich,Benjamin Pavard,28.257357973990416
2324,2023/2024,Bayern Munich,Bouna Sarr,32.41341546885695
2324,2023/2024,Bayern Munich,Bryan Zaragoza,22.806297056810404
2324,2023/2024,Bayern Munich,Daniel Peretz,23.72895277207392
2324,2023/2024,Bayern Munich,Dayot Upamecano,25.675564681724847
2324,2023/2024,Bayern Munich,Eric Dier,30.455852156057496
2324,2023/2024,Bayern Munich,Eric Maxim Choupo-Moting,35.27173169062286
2324,2023/2024,Bayern Munich,Frans Krätzig,21.45927446954141
2324,2023/2024,Bayern Munich,Harry Kane,30.924024640657084
2324,2023/2024,Bayern Munich,Jamal Musiala,21.34154688569473
2324,2023/2024,Bayern Munich,Jonathan Asp Jensen,18.458590006844627
2324,2023/2024,Bayern Munich,Joshua Kimmich,28.91170431211499
2324,2023/2024,Bayern Munich,Kim Min-Jae,27.62217659137577
2324,2023/2024,Bayern Munich,Kingsley Coman,28.046543463381244
2324,2023/2024,Bayern Munich,Konrad Laimer,27.093771389459278
2324,2023/2024,Bayern Munich,Leon Goretzka,29.078713210130047
2324,2023/2024,Bayern Munich,Leroy Sané,27.66050650239562
2324,2023/2024,Bayern Munich,Lovro Zvonarek,18.902121834360027
2324,2023/2024,Bayern Munich,Manuel Neuer,38.26146475017112
2324,2023/2024,Bayern Munich,Mathys Tel,19.17590691307324
2324,2023/2024,Bayern Munich,Matteo Vinlöf,18.532511978097197
2324,2023/2024,Bayern Munich,Matthijs de Ligt,24.56125941136208
2324,2023/2024,Bayern Munich,Max Scholze,19.16769336071184
2324,2023/2024,Bayern Munich,Noussair Mazraoui,26.62559890485969
2324,2023/2024,Bayern Munich,Noël Aséko,18.60369609856263
2324,2023/2024,Bayern Munich,Raphaël Guerreiro,30.521560574948666
2324,2023/2024,Bayern Munich,Ryan Gravenberch,22.12457221081451
2324,2023/2024,Bayern Munich,Sacha Boey,23.79466119096509
2324,2023/2024,Bayern Munich,Serge Gnabry,28.9637234770705
2324,2023/2024,Bayern Munich,Sven Ulreich,36.31211498973306
2324,2023/2024,Bayern Munich,Taichi Fukui,19.958932238193015
2324,2023/2024,Bayern Munich,Thomas Müller,34.79534565366188
2324,2023/2024,Bayern Munich,Tom Hülsmann,19.652292950034223
2324,2023/2024,Borussia Dortmund,Alexander Meyer,33.215605749486656
2324,2023/2024,Borussia Dortmund,Antonios Papadopoulos,24.725530458590008
2324,2023/2024,Borussia Dortmund,Donyell Malen,25.44558521560575
2324,2023/2024,Borussia Dortmund,Emre Can,29.579739904175224
2324,2023/2024,Borussia Dortmund,Felix Nmecha,23.720739219712527
2324,2023/2024,Borussia Dortmund,Giovanni Reyna,21.6290212183436
2324,2023/2024,Borussia Dortmund,Gregor Kobel,27.04996577686516
2324,2023/2024,Borussia Dortmund,Guillermo Bueno,21.782340862423
2324,2023/2024,Borussia Dortmund,Hendry Blank,19.85763175906913
2324,2023/2024,Borussia Dortmund,Ian Maatsen,21.741273100616016
2324,2023/2024,Borussia Dortmund,Jadon Sancho,24.265571526351813
2324,2023/2024,Borussia Dortmund,Jamie Gittens,19.89322381930185
2324,2023/2024,Borussia Dortmund,Julian Brandt,28.399726214921287
2324,2023/2024,Borussia Dortmund,Julian Ryerson,26.61738535249829
2324,2023/2024,Borussia Dortmund,Julien Duranville,18.154688569472963
2324,2023/2024,Borussia Dortmund,Karim Adeyemi,22.4476386036961
