season,season_label,team,player_count,avg_age,min_age,max_age,missing_age
2425,2024/2025,1. FC Union Berlin,31,27.86028129208894,18.951403148528406,38.34633812457221,0
2425,2024/2025,1. FC Heidenheim 1846,29,27.525124501404328,19.51813826146475,38.431211498973305,0
2425,2024/2025,VfL Bochum,31,27.461173301538935,18.02053388090349,38.74058863791923,0
2425,2024/2025,Mainz,28,27.409015351520484,20.28747433264887,33.8507871321013,0
2425,2024/2025,SC Freiburg,29,26.786376832117824,19.534565366187543,34.822724161533195,0
2425,2024/2025,Holstein Kiel,28,26.528991884228024,20.65160848733744,34.78165639972622,0
2425,2024/2025,Werder Bremen,32,26.069900752908968,17.806981519507186,34.86652977412731,0
2425,2024/2025,FC Augsburg,34,26.066674719168983,18.45311430527036,33.73032169746749,0
2425,2024/2025,St. Pauli,34,26.03293473446874,17.83983572895277,35.27173169062286,0
2425,2024/2025,Borussia Mönchengladbach,29,25.844650569992208,18.16563997262149,37.27310061601643,0
2425,2024/2025,Bayern Munich,34,25.752305028787696,16.763860369609855,39.26078028747433,0
2425,2024/2025,TSG Hoffenheim,42,25.51605227991265,19.4031485284052,35.39493497604381,0
2425,2024/2025,Bayer Leverkusen,31,25.419178203175026,16.824093086926762,35.59753593429158,0
2425,2024/2025,Borussia Dortmund,35,25.172347707049965,19.066392881587955,34.21492128678987,0
2425,2024/2025,VfL Wolfsburg,35,25.167576024249534,17.741273100616016,37.6290212183436,0
2425,2024/2025,Eintracht Frankfurt,30,25.047501711156745,17.470225872689937,36.76933607118412,0
2425,2024/2025,VfB Stuttgart,32,24.942505133470227,18.729637234770706,30.403832991101986,0
2425,2024/2025,RB Leipzig,35,24.251334702258728,17.45927446954141,35.069130732375086,0
