league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,home_goals,away_goals,home_xg,away_xg,is_result,has_data,url
3,2024,27742,2024-08-23 18:30:00,130,119,Borussia M.Gladbach,Bayer Leverkusen,LEV,BMG,2,3,1.51665,3.23588,True,True,https://understat.com/match/27742
3,2024,27746,2024-08-24 13:30:00,121,123,Augsburg,Werder Bremen,WER,AUG,2,2,1.31571,1.54312,True,True,https://understat.com/match/27746
3,2024,27748,2024-08-24 16:30:00,129,132,Borussia Dortmund,Eintracht Frankfurt,EIN,DOR,2,0,1.9263,1.15188,True,True,https://understat.com/match/27748
3,2024,27745,2024-08-24 13:30:00,135,133,Freiburg,VfB Stuttgart,STU,FRE,3,1,3.0149,0.374185,True,True,https://understat.com/match/27745
3,2024,27744,2024-08-24 13:30:00,120,287,Hoffenheim,Holstein Kiel,KIE,HOF,3,2,3.73706,1.97238,True,True,https://understat.com/match/27744
3,2024,27747,2024-08-24 13:30:00,125,240,Mainz 05,Union Berlin,UNI,MAI,1,1,1.77023,0.731569,True,True,https://understat.com/match/27747
3,2024,27743,2024-08-24 13:30:00,136,268,RasenBallsport Leipzig,Bochum,BOC,RBL,1,0,0.937134,1.31541,True,True,https://understat.com/match/27743
3,2024,27750,2024-08-25 15:30:00,288,280,St. Pauli,FC Heidenheim,HEI,SPA,0,2,1.1609,1.16833,True,True,https://understat.com/match/27750
3,2024,27749,2024-08-25 13:30:00,131,117,Wolfsburg,Bayern Munich,BAY,WOL,2,3,2.08125,2.17538,True,True,https://understat.com/match/27749
3,2024,27751,2024-08-30 18:30:00,240,288,Union Berlin,St. Pauli,SPA,UNI,1,0,1.0488,0.644857,True,True,https://understat.com/match/27751
3,2024,27757,2024-08-31 16:30:00,119,136,Bayer Leverkusen,RasenBallsport Leipzig,RBL,LEV,2,3,3.42266,1.50532,True,True,https://understat.com/match/27757
3,2024,27752,2024-08-31 13:30:00,268,130,Bochum,Borussia M.Gladbach,BMG,BOC,0,2,0.918629,2.66887,True,True,https://understat.com/match/27752
3,2024,27756,2024-08-31 13:30:00,132,120,Eintracht Frankfurt,Hoffenheim,HOF,EIN,3,1,2.68507,0.832386,True,True,https://understat.com/match/27756
3,2024,27754,2024-08-31 13:30:00,287,131,Holstein Kiel,Wolfsburg,WOL,KIE,0,2,0.89489,1.4619,True,True,https://understat.com/match/27754
3,2024,27755,2024-08-31 13:30:00,133,125,VfB Stuttgart,Mainz 05,MAI,STU,3,3,4.2134,1.95179,True,True,https://understat.com/match/27755
3,2024,27753,2024-08-31 13:30:00,123,129,Werder Bremen,Borussia Dortmund,DOR,WER,0,0,0.278533,0.918302,True,True,https://understat.com/match/27753
3,2024,27759,2024-09-01 15:30:00,117,135,Bayern Munich,Freiburg,FRE,BAY,2,0,1.62797,0.970892,True,True,https://understat.com/match/27759
3,2024,27758,2024-09-01 13:30:00,280,121,FC Heidenheim,Augsburg,AUG,HEI,4,0,3.09376,0.641534,True,True,https://understat.com/match/27758
3,2024,27760,2024-09-13 18:30:00,129,280,Borussia Dortmund,FC Heidenheim,HEI,DOR,4,2,2.84066,1.61406,True,True,https://understat.com/match/27760
3,2024,27765,2024-09-14 13:30:00,130,133,Borussia M.Gladbach,VfB Stuttgart,STU,BMG,1,3,2.05136,2.7214,True,True,https://understat.com/match/27765
3,2024,27762,2024-09-14 13:30:00,135,268,Freiburg,Bochum,BOC,FRE,2,1,3.95617,1.10732,True,True,https://understat.com/match/27762
