league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,home_goals,away_goals,home_xg,away_xg,is_result,has_data,url
3,2022,19420,2022-10-08 13:30:00,121,131,Augsburg,Wolfsburg,WOL,AUG,1,1,2.01628,2.30655,True,True,https://understat.com/match/19420
3,2022,19415,2022-10-08 13:30:00,119,124,Bayer Leverkusen,Schalke 04,SCH,LEV,4,0,2.06947,0.139609,True,True,https://understat.com/match/19415
3,2022,19419,2022-10-08 13:30:00,268,132,Bochum,Eintracht Frankfurt,EIN,BOC,3,0,0.649959,0.78428,True,True,https://understat.com/match/19419
3,2022,19414,2022-10-08 16:30:00,129,117,Borussia Dortmund,Bayern Munich,BAY,DOR,2,2,1.42928,1.22934,True,True,https://understat.com/match/19414
3,2022,19416,2022-10-08 13:30:00,125,136,Mainz 05,RasenBallsport Leipzig,RBL,MAI,1,1,0.649518,1.4696,True,True,https://understat.com/match/19416
3,2022,19418,2022-10-09 13:30:00,130,134,Borussia M.Gladbach,FC Cologne,COL,BMG,5,2,2.72658,1.45617,True,True,https://understat.com/match/19418
3,2022,19422,2022-10-09 15:30:00,122,135,Hertha Berlin,Freiburg,FRE,HER,2,2,1.25889,1.75899,True,True,https://understat.com/match/19422
3,2022,19421,2022-10-09 17:30:00,133,240,VfB Stuttgart,Union Berlin,UNI,STU,0,1,1.09713,0.73441,True,True,https://understat.com/match/19421
3,2022,19430,2022-10-14 18:30:00,124,120,Schalke 04,Hoffenheim,HOF,SCH,0,3,0.697562,3.51699,True,True,https://understat.com/match/19430
3,2022,19427,2022-10-15 13:30:00,132,119,Eintracht Frankfurt,Bayer Leverkusen,LEV,EIN,5,1,4.35761,0.503272,True,True,https://understat.com/match/19427
3,2022,19424,2022-10-15 16:30:00,136,122,RasenBallsport Leipzig,Hertha Berlin,HER,RBL,3,2,3.30191,2.42152,True,True,https://understat.com/match/19424
3,2022,19429,2022-10-15 13:30:00,133,268,VfB Stuttgart,Bochum,BOC,STU,4,1,2.40775,1.52762,True,True,https://understat.com/match/19429
3,2022,19431,2022-10-15 13:30:00,123,125,Werder Bremen,Mainz 05,MAI,WER,0,2,1.20268,1.10835,True,True,https://understat.com/match/19431
3,2022,19428,2022-10-15 13:30:00,131,130,Wolfsburg,Borussia M.Gladbach,BMG,WOL,2,2,1.74427,0.895157,True,True,https://understat.com/match/19428
3,2022,19423,2022-10-16 17:30:00,117,135,Bayern Munich,Freiburg,FRE,BAY,5,0,2.07998,0.328313,True,True,https://understat.com/match/19423
3,2022,19426,2022-10-16 13:30:00,134,121,FC Cologne,Augsburg,AUG,COL,3,2,1.54576,0.207517,True,True,https://understat.com/match/19426
3,2022,19425,2022-10-16 15:30:00,240,129,Union Berlin,Borussia Dortmund,DOR,UNI,2,0,1.47199,0.797656,True,True,https://understat.com/match/19425
3,2022,19435,2022-10-21 18:30:00,125,134,Mainz 05,FC Cologne,COL,MAI,5,0,2.21787,0.930558,True,True,https://understat.com/match/19435
3,2022,19439,2022-10-22 13:30:00,121,136,Augsburg,RasenBallsport Leipzig,RBL,AUG,3,3,1.91261,2.38989,True,True,https://understat.com/match/19439
3,2022,19433,2022-10-22 13:30:00,119,131,Bayer Leverkusen,Wolfsburg,WOL,LEV,2,2,2.36747,1.15093,True,True,https://understat.com/match/19433
3,2022,19432,2022-10-22 13:30:00,129,133,Borussia Dortmund,VfB Stuttgart,STU,DOR,5,0,2.63936,0.989781,True,True,https://understat.com/match/19432
3,2022,19437,2022-10-22 16:30:00,130,132,Borussia M.Gladbach,Eintracht Frankfurt,EIN,BMG,1,3,1.36544,1.80175,True,True,https://understat.com/match/19437
3,2022,19434,2022-10-22 13:30:00,135,123,Freiburg,Werder Bremen,WER,FRE,2,0,3.33695,0.393506,True,True,https://understat.com/match/19434
3,2022,19436,2022-10-22 13:30:00,120,117,Hoffenheim,Bayern Munich,BAY,HOF,0,2,0.766181,3.12799,True,True,https://understat.com/match/19436
3,2022,19438,2022-10-23 13:30:00,268,240,Bochum,Union Berlin,UNI,BOC,2,1,1.11544,1.00303,True,True,https://understat.com/match/19438
3,2022,19440,2022-10-23 15:30:00,122,124,Hertha Berlin,Schalke 04,SCH,HER,2,1,1.05778,0.522522,True,True,https://understat.com/match/19440
3,2022,19449,2022-10-28 18:30:00,123,122,Werder Bremen,Hertha Berlin,HER,WER,1,0,1.53976,0.572257,True,True,https://understat.com/match/19449
3,2022,19441,2022-10-29 13:30:00,117,125,Bayern Munich,Mainz 05,MAI,BAY,6,2,4.33442,1.78114,True,True,https://understat.com/match/19441
3,2022,19445,2022-10-29 16:30:00,132,129,Eintracht Frankfurt,Borussia Dortmund,DOR,EIN,1,2,1.71027,0.730506,True,True,https://understat.com/match/19445
3,2022,19442,2022-10-29 13:30:00,136,119,RasenBallsport Leipzig,Bayer Leverkusen,LEV,RBL,2,0,1.63234,0.141987,True,True,https://understat.com/match/19442
3,2022,19447,2022-10-29 13:30:00,133,121,VfB Stuttgart,Augsburg,AUG,STU,2,1,3.12054,0.754506,True,True,https://understat.com/match/19447
3,2022,19446,2022-10-29 13:30:00,131,268,Wolfsburg,Bochum,BOC,WOL,4,0,2.58922,0.444056,True,True,https://understat.com/match/19446
3,2022,19444,2022-10-30 18:30:00,134,120,FC Cologne,Hoffenheim,HOF,COL,1,1,0.979672,0.778986,True,True,https://understat.com/match/19444
3,2022,19448,2022-10-30 16:30:00,124,135,Schalke 04,Freiburg,FRE,SCH,0,2,0.841369,2.25332,True,True,https://understat.com/match/19448
