season,season_label,game_id,team,avg_age,goals,shots,goals_per_shot
2425,2024/2025,711433,1. FC Union Berlin,28.0,1,15,0.06666666666666667
2425,2024/2025,711433,Mainz,27.642857142857142,1,14,0.07142857142857142
2425,2024/2025,711434,Bayern Munich,25.970588235294116,3,15,0.2
2425,2024/2025,711434,VfL Wolfsburg,25.4,2,10,0.2
2425,2024/2025,711435,Holstein Kiel,27.107142857142858,2,17,0.11764705882352941
2425,2024/2025,711435,TSG Hoffenheim,25.714285714285715,3,21,0.14285714285714285
2425,2024/2025,711436,SC Freiburg,26.96551724137931,3,16,0.1875
2425,2024/2025,711436,VfB Stuttgart,25.15625,1,9,0.1111111111111111
2425,2024/2025,711437,RB Leipzig,24.37142857142857,1,13,0.07692307692307693
2425,2024/2025,711437,VfL Bochum,27.580645161290324,0,10,0.0
2425,2024/2025,711438,1. FC Heidenheim 1846,27.79310344827586,2,5,0.4
2425,2024/2025,711438,St. Pauli,26.176470588235293,0,11,0.0
2425,2024/2025,711439,FC Augsburg,26.235294117647058,2,11,0.18181818181818182
2425,2024/2025,711439,Werder Bremen,26.21875,2,11,0.18181818181818182
2425,2024/2025,711440,Borussia Dortmund,25.37142857142857,2,20,0.1
2425,2024/2025,711440,Eintracht Frankfurt,25.266666666666666,0,7,0.0
2425,2024/2025,711441,1. FC Heidenheim 1846,27.79310344827586,4,15,0.26666666666666666
2425,2024/2025,711441,FC Augsburg,26.235294117647058,0,15,0.0
2425,2024/2025,711442,Mainz,27.642857142857142,3,11,0.2727272727272727
2425,2024/2025,711442,VfB Stuttgart,25.15625,3,28,0.10714285714285714
2425,2024/2025,711443,Borussia Dortmund,25.37142857142857,0,9,0.0
2425,2024/2025,711443,Werder Bremen,26.21875,0,5,0.0
2425,2024/2025,711444,Holstein Kiel,27.107142857142858,0,13,0.0
2425,2024/2025,711444,VfL Wolfsburg,25.4,2,13,0.15384615384615385
2425,2024/2025,711445,Borussia Mönchengladbach,26.06896551724138,2,15,0.13333333333333333
2425,2024/2025,711445,VfL Bochum,27.580645161290324,0,15,0.0
2425,2024/2025,711446,Eintracht Frankfurt,25.266666666666666,3,18,0.16666666666666666
